survey,target,country,type,section,gate,country_rank,role
afrobarometer,Q92A,Zimbabwe,binary,wellbeing,True,1,confirmatory
afrobarometer,Q92A,São Tomé and Príncipe,binary,wellbeing,True,2,confirmatory
afrobarometer,Q92A,Congo-Brazzaville,binary,wellbeing,True,3,confirmatory
afrobarometer,Q92A,Tanzania,binary,wellbeing,True,4,oracle_only
afrobarometer,Q92A,Benin,binary,wellbeing,True,5,oracle_only
afrobarometer,Q92A,Côte d'Ivoire,binary,wellbeing,True,6,oracle_only
afrobarometer,Q92A,Burkina Faso,binary,wellbeing,True,7,oracle_only
afrobarometer,Q92A,Kenya,binary,wellbeing,True,8,oracle_only
afrobarometer,Q92A,Morocco,binary,wellbeing,True,9,oracle_only
afrobarometer,Q92A,Botswana,binary,wellbeing,True,10,oracle_only
afrobarometer,Q67A,Kenya,binary,contemporary_issues,True,1,confirmatory
afrobarometer,Q67A,Angola,binary,contemporary_issues,True,2,confirmatory
afrobarometer,Q67A,Eswatini,binary,contemporary_issues,True,3,confirmatory
afrobarometer,Q67A,Gabon,binary,contemporary_issues,True,4,oracle_only
afrobarometer,Q67A,Morocco,binary,contemporary_issues,True,5,oracle_only
afrobarometer,Q67A,Uganda,binary,contemporary_issues,True,6,oracle_only
afrobarometer,Q67A,Nigeria,binary,contemporary_issues,True,7,oracle_only
afrobarometer,Q67A,Mali,binary,contemporary_issues,True,8,oracle_only
afrobarometer,Q67A,Benin,binary,contemporary_issues,True,9,oracle_only
afrobarometer,Q67A,Seychelles,binary,contemporary_issues,True,10,oracle_only
afrobarometer,Q43A,Cabo Verde,binary,institutional_trust,True,1,confirmatory
afrobarometer,Q43A,Mozambique,binary,institutional_trust,True,2,confirmatory
afrobarometer,Q43A,Tanzania,binary,institutional_trust,True,3,confirmatory
afrobarometer,Q43A,São Tomé and Príncipe,binary,institutional_trust,True,4,oracle_only
afrobarometer,Q43A,Cameroon,binary,institutional_trust,True,5,oracle_only
afrobarometer,Q43A,Gabon,binary,institutional_trust,True,6,oracle_only
afrobarometer,Q43A,Côte d'Ivoire,binary,institutional_trust,True,7,oracle_only
afrobarometer,Q43A,Ghana,binary,institutional_trust,True,8,oracle_only
afrobarometer,Q43A,Congo-Brazzaville,binary,institutional_trust,True,9,oracle_only
afrobarometer,Q43A,Mauritius,binary,institutional_trust,True,10,oracle_only
afrobarometer,Q91A,Liberia,nominal,wellbeing,False,1,confirmatory
afrobarometer,Q91A,Senegal,nominal,wellbeing,False,2,confirmatory
afrobarometer,Q91A,Mauritius,nominal,wellbeing,False,3,confirmatory
afrobarometer,Q91A,Cameroon,nominal,wellbeing,False,4,oracle_only
afrobarometer,Q91A,Ghana,nominal,wellbeing,False,5,oracle_only
