survey,target,country,type,section,role
ess_wave_11,bctprd,Austria,binary,political_participation,core
ess_wave_11,bctprd,France,binary,political_participation,core
ess_wave_11,bctprd,Italy,binary,political_participation,swap_extra
ess_wave_11,stfgov,Austria,ordinal,institutional_trust,core
ess_wave_11,stfgov,France,ordinal,institutional_trust,core
afrobarometer,Q23,Kenya,binary,political_attitudes,core
afrobarometer,Q23,Ghana,binary,political_attitudes,core
afrobarometer,Q23,Nigeria,binary,political_attitudes,swap_extra
afrobarometer,Q1,Kenya,continuous,demographics,core
afrobarometer,Q1,Ghana,continuous,demographics,core
arabbarometer,Q103,Jordan,binary,social_attitudes,core
arabbarometer,Q103,Morocco,binary,social_attitudes,core
arabbarometer,Q101,Jordan,ordinal,political_attitudes,core
arabbarometer,Q101,Morocco,ordinal,political_attitudes,core
asianbarometer,SE13b,Taiwan,ordinal,political_attitudes,core
asianbarometer,SE13b,Philippines,ordinal,political_attitudes,core
asianbarometer,SE9,Taiwan,binary,demographics,core
asianbarometer,SE9,Philippines,binary,demographics,core
latinobarometer,P10STGBS,Chile,nominal,political_attitudes,core
latinobarometer,P10STGBS,Colombia,nominal,political_attitudes,core
latinobarometer,P11STGBS.A,Chile,ordinal,political_attitudes,core
latinobarometer,P11STGBS.A,Colombia,ordinal,political_attitudes,core
wvs,Q149,Germany,binary,political_attitudes,core
wvs,Q149,Brazil,binary,political_attitudes,core
wvs,Q106,Germany,ordinal,political_attitudes,core
wvs,Q106,Brazil,ordinal,political_attitudes,core
