survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,8,0.0,0.9324,0.5893,0.7092,0.5042,-0.1199,0.3431,
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9399,0.6002,0.633,0.5042,-0.0328,0.3397,
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,8,0.0,0.9324,0.5893,0.7092,0.5042,-0.1199,0.3431,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,9,0.0,0.9374,0.6219,0.7118,0.5042,-0.0899,0.3155,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9399,0.586,0.633,0.5042,-0.047,0.3539,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.0,0.9374,0.6219,0.7118,0.5042,-0.0899,0.3155,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-mpnet-base-v2,model,13,0.0,0.9942,0.6692,0.7881,0.5925,-0.1189,0.325,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9942,0.6183,0.6878,0.5925,-0.0695,0.3759,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9942,0.6608,0.7807,0.5925,-0.1199,0.3334,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.0,0.9942,0.655,0.7807,0.5925,-0.1257,0.3392,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9942,0.5783,0.6878,0.5925,-0.1095,0.4159,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9942,0.655,0.7807,0.5925,-0.1257,0.3392,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,model,11,0.0,0.9983,0.7242,0.8117,0.6958,-0.0875,0.2741,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9983,0.7067,0.7511,0.6958,-0.0444,0.2916,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9983,0.7208,0.8139,0.6958,-0.0931,0.2775,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.0,0.9983,0.7267,0.8117,0.6958,-0.085,0.2716,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9983,0.7158,0.7511,0.6958,-0.0353,0.2825,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9983,0.7258,0.8139,0.6958,-0.0881,0.2725,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-mpnet-base-v2,model,7,0.7869,0.4837,0.4603,0.3023,0.3222,0.158,0.0234,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.6812,0.4803,0.4075,0.3024,0.3222,0.1051,0.0728,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k10,7,0.7869,0.4837,0.4603,0.3023,0.3222,0.158,0.0234,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-mpnet-base-v2,model,7,0.6019,0.4837,0.4092,0.3023,0.3222,0.1069,0.0745,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.6427,0.4803,0.4126,0.3024,0.3222,0.1102,0.0677,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k10,7,0.6019,0.4837,0.4092,0.3023,0.3222,0.1069,0.0745,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,model,5,0.3023,0.3829,0.3535,0.1911,0.2191,0.1624,0.0294,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.3023,0.3829,0.3535,0.1911,0.2191,0.1624,0.0294,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k10,5,0.3023,0.3829,0.3535,0.1911,0.2191,0.1624,0.0294,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,model,7,0.2827,0.3879,0.3384,0.1918,0.2191,0.1466,0.0495,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.2977,0.3829,0.3468,0.1911,0.2191,0.1557,0.0361,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k10,7,0.2827,0.3879,0.3384,0.1918,0.2191,0.1466,0.0495,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,6,0.4016,0.3783,0.3917,0.2821,0.2408,0.1096,-0.0134,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.4537,0.345,0.3892,0.2739,0.2408,0.1153,-0.0442,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,6,0.4016,0.3783,0.3917,0.2821,0.2408,0.1096,-0.0134,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.3721,0.3692,0.3967,0.2862,0.2408,0.1105,-0.0275,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.4537,0.345,0.3817,0.2739,0.2408,0.1078,-0.0367,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.3721,0.3692,0.3967,0.2862,0.2408,0.1105,-0.0275,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,11,0.1011,0.4308,0.3575,0.3131,0.3475,0.0444,0.0733,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0764,0.405,0.3392,0.3073,0.3475,0.0319,0.0658,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0794,0.4233,0.3517,0.3134,0.3475,0.0383,0.0716,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,14,0.1246,0.4358,0.3225,0.3305,0.3475,-0.008,0.1133,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.121,0.405,0.31,0.3073,0.3475,0.0027,0.095,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0952,0.4233,0.3292,0.3134,0.3475,0.0158,0.0941,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,model,11,0.1481,0.3799,0.3573,0.3335,0.2879,0.0238,0.0226,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.098,0.3531,0.3473,0.3078,0.2879,0.0395,0.0058,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.1477,0.364,0.3506,0.3246,0.2879,0.026,0.0134,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,model,12,0.2376,0.3883,0.3372,0.3338,0.2879,0.0034,0.0511,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0882,0.3531,0.2803,0.3078,0.2879,-0.0275,0.0728,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.2159,0.364,0.3389,0.3246,0.2879,0.0143,0.0251,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.0,0.3475,0.3083,0.2708,0.2733,0.0375,0.0392,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.3358,0.3058,0.2542,0.2733,0.0516,0.03,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.3392,0.3183,0.2703,0.2733,0.048,0.0209,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,17,0.0182,0.3567,0.3425,0.2933,0.2733,0.0492,0.0142,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.3358,0.3008,0.2542,0.2733,0.0466,0.035,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.3392,0.2875,0.2703,0.2733,0.0172,0.0517,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-mpnet-base-v2,model,13,0.3121,0.4779,0.4411,0.4122,0.4277,0.0289,0.0368,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.2208,0.4703,0.3801,0.3891,0.4277,-0.009,0.0902,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.3167,0.4562,0.4144,0.4005,0.4277,0.0139,0.0418,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-mpnet-base-v2,model,12,0.2612,0.4704,0.4244,0.4099,0.4277,0.0145,0.046,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.039,0.4703,0.3425,0.3891,0.4277,-0.0466,0.1278,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.2667,0.4562,0.4269,0.4005,0.4277,0.0264,0.0293,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-mpnet-base-v2,model,4,0.0,0.4525,0.4467,0.4067,0.435,0.04,0.0058,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k5,4,0.0,0.4525,0.4467,0.4067,0.435,0.04,0.0058,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k10,4,0.0,0.4525,0.4467,0.4067,0.435,0.04,0.0058,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-mpnet-base-v2,model,13,0.3021,0.4642,0.4217,0.3943,0.435,0.0274,0.0425,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0755,0.4633,0.345,0.392,0.435,-0.047,0.1183,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0494,0.4667,0.3775,0.3898,0.435,-0.0123,0.0892,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-mpnet-base-v2,model,9,0.0,0.4547,0.6056,0.4053,0.3466,0.2003,-0.1509,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-mpnet-base-v2,k5,4,0.0,0.4152,0.6014,0.3577,0.3466,0.2437,-0.1862,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.0,0.4547,0.6056,0.4053,0.3466,0.2003,-0.1509,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-mpnet-base-v2,model,15,0.2267,0.4813,0.6671,0.4174,0.3466,0.2497,-0.1858,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.4038,0.4555,0.4318,0.3699,0.3466,0.0619,0.0237,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.275,0.4547,0.4514,0.4053,0.3466,0.0461,0.0033,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.1667,0.6837,0.5986,0.5518,0.5556,0.0468,0.0851,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.2857,0.6243,0.5902,0.5408,0.5556,0.0494,0.0341,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,8,0.2,0.6496,0.5812,0.5454,0.5556,0.0358,0.0684,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,14,0.1667,0.6583,0.5725,0.5625,0.5556,0.01,0.0858,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,4,0.25,0.5475,0.5384,0.5341,0.5556,0.0043,0.0091,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.1905,0.65,0.6069,0.5487,0.5556,0.0582,0.0431,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,10,0.0541,0.5105,0.4044,0.3941,0.3266,0.0103,0.1061,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0472,0.4319,0.3743,0.3446,0.3266,0.0297,0.0576,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.0585,0.4929,0.4068,0.3821,0.3266,0.0247,0.0861,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,18,0.1315,0.5481,0.4996,0.4357,0.3266,0.0639,0.0485,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0849,0.4319,0.386,0.3446,0.3266,0.0414,0.0459,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0541,0.5105,0.4077,0.3941,0.3266,0.0136,0.1028,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,9,0.102,0.53,0.6117,0.4378,0.3867,0.1739,-0.0817,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.1515,0.4817,0.5625,0.4126,0.3867,0.1499,-0.0808,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.102,0.53,0.6117,0.4378,0.3867,0.1739,-0.0817,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.2193,0.5392,0.5808,0.4487,0.3867,0.1321,-0.0416,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.3788,0.4817,0.3908,0.4126,0.3867,-0.0218,0.0909,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.2358,0.5375,0.5458,0.4383,0.3867,0.1075,-0.0083,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,model,9,0.0625,0.3791,0.6291,0.3523,0.3063,0.2768,-0.25,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.3105,0.6299,0.3165,0.3063,0.3134,-0.3194,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.0625,0.3791,0.6291,0.3523,0.3063,0.2768,-0.25,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,model,9,0.0357,0.3791,0.697,0.3523,0.3063,0.3447,-0.3179,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k5,4,0.069,0.3262,0.5107,0.3104,0.3063,0.2003,-0.1845,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.0357,0.3791,0.697,0.3523,0.3063,0.3447,-0.3179,
