survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,13,0.0031,0.9324,0.6127,0.7177,0.5042,-0.105,0.3197,
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9399,0.6286,0.633,0.5042,-0.0044,0.3113,
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9307,0.5994,0.7145,0.5042,-0.1151,0.3313,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.0,0.9307,0.5843,0.7145,0.5042,-0.1302,0.3464,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9399,0.581,0.633,0.5042,-0.052,0.3589,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9307,0.5843,0.7145,0.5042,-0.1302,0.3464,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.0,0.9942,0.615,0.7868,0.5925,-0.1718,0.3792,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9942,0.5992,0.6878,0.5925,-0.0886,0.395,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9942,0.59,0.7807,0.5925,-0.1907,0.4042,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.0,0.9942,0.6258,0.7807,0.5925,-0.1549,0.3684,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9942,0.6017,0.6878,0.5925,-0.0861,0.3925,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9942,0.6258,0.7807,0.5925,-0.1549,0.3684,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.0,0.9983,0.7,0.8129,0.6958,-0.1129,0.2983,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9983,0.7175,0.7511,0.6958,-0.0336,0.2808,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9983,0.7017,0.8139,0.6958,-0.1122,0.2966,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.0,0.9983,0.715,0.8139,0.6958,-0.0989,0.2833,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.9983,0.7083,0.7511,0.6958,-0.0428,0.29,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0,0.9983,0.715,0.8139,0.6958,-0.0989,0.2833,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-mpnet-base-v2,model,6,0.6137,0.4828,0.4126,0.3085,0.3222,0.1041,0.0702,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.6427,0.4803,0.4126,0.3024,0.3222,0.1102,0.0677,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k10,6,0.6137,0.4828,0.4126,0.3085,0.3222,0.1041,0.0702,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-mpnet-base-v2,model,7,0.6628,0.4837,0.4293,0.3023,0.3222,0.127,0.0544,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.7275,0.4803,0.4385,0.3024,0.3222,0.1361,0.0418,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k10,7,0.6628,0.4837,0.4293,0.3023,0.3222,0.127,0.0544,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,model,8,0.2672,0.3963,0.3484,0.1947,0.2191,0.1537,0.0479,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.2977,0.3829,0.33,0.1911,0.2191,0.1389,0.0529,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k10,8,0.2672,0.3963,0.3484,0.1947,0.2191,0.1537,0.0479,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,model,7,0.2743,0.3879,0.3459,0.1918,0.2191,0.1541,0.042,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.3023,0.3829,0.3518,0.1911,0.2191,0.1607,0.0311,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k10,7,0.2743,0.3879,0.3459,0.1918,0.2191,0.1541,0.042,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,8,0.3581,0.3783,0.4033,0.2789,0.2408,0.1244,-0.025,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.3796,0.345,0.3658,0.2739,0.2408,0.0919,-0.0208,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,8,0.3581,0.3783,0.4033,0.2789,0.2408,0.1244,-0.025,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,6,0.4344,0.3783,0.4025,0.2821,0.2408,0.1204,-0.0242,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.4537,0.345,0.3917,0.2739,0.2408,0.1178,-0.0467,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,6,0.4344,0.3783,0.4025,0.2821,0.2408,0.1204,-0.0242,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,15,0.2177,0.44,0.3792,0.3337,0.3475,0.0455,0.0608,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.242,0.405,0.3542,0.3073,0.3475,0.0469,0.0508,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.2579,0.4233,0.3692,0.3134,0.3475,0.0558,0.0541,
