survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-roberta-large-v1,model,12,0.0,0.9316,0.6086,0.7169,0.5042,-0.1083,0.323,
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9399,0.6027,0.633,0.5042,-0.0303,0.3372,
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.9307,0.5969,0.7145,0.5042,-0.1176,0.3338,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-roberta-large-v1,model,9,0.0,0.9374,0.6236,0.7118,0.5042,-0.0882,0.3138,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9399,0.6019,0.633,0.5042,-0.0311,0.338,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-roberta-large-v1,k10,9,0.0,0.9374,0.6236,0.7118,0.5042,-0.0882,0.3138,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-roberta-large-v1,model,9,0.0,0.9942,0.595,0.7805,0.5925,-0.1855,0.3992,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9942,0.5725,0.6878,0.5925,-0.1153,0.4217,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-roberta-large-v1,k10,9,0.0,0.9942,0.595,0.7805,0.5925,-0.1855,0.3992,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-roberta-large-v1,model,9,0.0,0.9942,0.6042,0.7805,0.5925,-0.1763,0.39,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9942,0.555,0.6878,0.5925,-0.1328,0.4392,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-roberta-large-v1,k10,9,0.0,0.9942,0.6042,0.7805,0.5925,-0.1763,0.39,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-roberta-large-v1,model,10,0.0,0.9983,0.7233,0.8139,0.6958,-0.0906,0.275,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9983,0.7033,0.7511,0.6958,-0.0478,0.295,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.9983,0.7233,0.8139,0.6958,-0.0906,0.275,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-roberta-large-v1,model,12,0.0,0.9983,0.715,0.8129,0.6958,-0.0979,0.2833,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9983,0.6883,0.7511,0.6958,-0.0628,0.31,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.9983,0.7133,0.8139,0.6958,-0.1006,0.285,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-roberta-large-v1,model,7,0.7564,0.4837,0.4569,0.3023,0.3222,0.1546,0.0268,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.8252,0.4803,0.4494,0.3024,0.3222,0.147,0.0309,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-roberta-large-v1,k10,7,0.7564,0.4837,0.4569,0.3023,0.3222,0.1546,0.0268,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-roberta-large-v1,model,6,0.6284,0.4828,0.4084,0.3085,0.3222,0.0999,0.0744,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.6607,0.4803,0.4126,0.3024,0.3222,0.1102,0.0677,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-roberta-large-v1,k10,6,0.6284,0.4828,0.4084,0.3085,0.3222,0.0999,0.0744,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-roberta-large-v1,model,5,0.3023,0.3829,0.3291,0.1911,0.2191,0.138,0.0538,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.3023,0.3829,0.3291,0.1911,0.2191,0.138,0.0538,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k10,5,0.3023,0.3829,0.3291,0.1911,0.2191,0.138,0.0538,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-roberta-large-v1,model,6,0.2996,0.4022,0.3442,0.197,0.2191,0.1472,0.058,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.3023,0.3829,0.34,0.1911,0.2191,0.1489,0.0429,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k10,6,0.2996,0.4022,0.3442,0.197,0.2191,0.1472,0.058,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-roberta-large-v1,model,5,0.3611,0.345,0.3442,0.2739,0.2408,0.0703,0.0008,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.3611,0.345,0.3442,0.2739,0.2408,0.0703,0.0008,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-roberta-large-v1,k10,5,0.3611,0.345,0.3442,0.2739,0.2408,0.0703,0.0008,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-roberta-large-v1,model,7,0.4148,0.3625,0.415,0.2772,0.2408,0.1378,-0.0525,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.4907,0.345,0.4117,0.2739,0.2408,0.1378,-0.0667,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-roberta-large-v1,k10,7,0.4148,0.3625,0.415,0.2772,0.2408,0.1378,-0.0525,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-roberta-large-v1,model,11,0.1199,0.4308,0.3,0.3131,0.3475,-0.0131,0.1308,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0573,0.405,0.26,0.3073,0.3475,-0.0473,0.145,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0992,0.4233,0.2875,0.3134,0.3475,-0.0259,0.1358,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-roberta-large-v1,model,16,0.189,0.4383,0.3867,0.3432,0.3475,0.0435,0.0516,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0955,0.405,0.2858,0.3073,0.3475,-0.0215,0.1192,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.1032,0.4233,0.295,0.3134,0.3475,-0.0184,0.1283,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-roberta-large-v1,model,10,0.0852,0.364,0.3146,0.3246,0.2879,-0.01,0.0494,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.049,0.3531,0.2653,0.3078,0.2879,-0.0425,0.0878,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0852,0.364,0.3146,0.3246,0.2879,-0.01,0.0494,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-roberta-large-v1,model,11,0.1799,0.3799,0.3322,0.3335,0.2879,-0.0013,0.0477,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.1078,0.3531,0.2904,0.3078,0.2879,-0.0174,0.0627,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.1932,0.364,0.3406,0.3246,0.2879,0.016,0.0234,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-roberta-large-v1,model,11,0.0,0.3425,0.3167,0.265,0.2733,0.0517,0.0258,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.3358,0.3033,0.2542,0.2733,0.0491,0.0325,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.3392,0.3,0.2703,0.2733,0.0297,0.0392,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-roberta-large-v1,model,14,0.0099,0.3467,0.3092,0.2774,0.2733,0.0318,0.0375,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.3358,0.2408,0.2542,0.2733,-0.0134,0.095,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0118,0.3392,0.2967,0.2703,0.2733,0.0264,0.0425,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-roberta-large-v1,model,13,0.234,0.4779,0.4436,0.4122,0.4277,0.0314,0.0343,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.039,0.4703,0.3584,0.3891,0.4277,-0.0307,0.1119,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.2167,0.4562,0.4295,0.4005,0.4277,0.029,0.0267,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-roberta-large-v1,model,12,0.2985,0.4704,0.4085,0.4099,0.4277,-0.0014,0.0619,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.039,0.4703,0.3567,0.3891,0.4277,-0.0324,0.1136,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.1583,0.4562,0.376,0.4005,0.4277,-0.0245,0.0802,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-roberta-large-v1,model,5,0.0,0.4633,0.435,0.392,0.435,0.043,0.0283,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.4633,0.435,0.392,0.435,0.043,0.0283,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-roberta-large-v1,k10,5,0.0,0.4633,0.435,0.392,0.435,0.043,0.0283,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-roberta-large-v1,model,12,0.0989,0.4608,0.4067,0.3928,0.435,0.0139,0.0541,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0755,0.4633,0.3367,0.392,0.435,-0.0553,0.1266,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0494,0.4667,0.3717,0.3898,0.435,-0.0181,0.095,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-roberta-large-v1,model,8,0.0544,0.4584,0.6392,0.4053,0.3466,0.2339,-0.1808,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0769,0.4555,0.3246,0.3699,0.3466,-0.0453,0.1309,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-roberta-large-v1,k10,8,0.0544,0.4584,0.6392,0.4053,0.3466,0.2339,-0.1808,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-roberta-large-v1,model,12,0.2154,0.4684,0.6974,0.4155,0.3466,0.2819,-0.229,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.4038,0.4555,0.4318,0.3699,0.3466,0.0619,0.0237,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.2442,0.4551,0.6076,0.4031,0.3466,0.2045,-0.1525,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,model,11,0.1739,0.6757,0.6236,0.5479,0.5556,0.0757,0.0521,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.2857,0.6243,0.5815,0.5408,0.5556,0.0407,0.0428,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k10,8,0.2,0.6496,0.6065,0.5454,0.5556,0.0611,0.0431,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,model,15,0.1667,0.6674,0.5815,0.5658,0.5556,0.0157,0.0859,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.2143,0.6243,0.5634,0.5408,0.5556,0.0226,0.0609,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.1818,0.6587,0.6069,0.553,0.5556,0.0539,0.0518,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,model,10,0.0811,0.5105,0.3985,0.3941,0.3266,0.0044,0.112,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0472,0.4319,0.3367,0.3446,0.3266,-0.0079,0.0952,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0811,0.5105,0.3985,0.3941,0.3266,0.0044,0.112,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,model,14,0.2075,0.5297,0.4871,0.4172,0.3266,0.0699,0.0426,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0849,0.4319,0.386,0.3446,0.3266,0.0414,0.0459,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.173,0.5105,0.4419,0.3941,0.3266,0.0478,0.0686,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,model,8,0.1556,0.5225,0.5925,0.4414,0.3867,0.1511,-0.07,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0909,0.4817,0.375,0.4126,0.3867,-0.0376,0.1067,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k10,8,0.1556,0.5225,0.5925,0.4414,0.3867,0.1511,-0.07,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,model,9,0.2551,0.53,0.6133,0.4378,0.3867,0.1755,-0.0833,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.3788,0.4817,0.3908,0.4126,0.3867,-0.0218,0.0909,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k10,9,0.2551,0.53,0.6133,0.4378,0.3867,0.1755,-0.0833,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-roberta-large-v1,model,12,0.0507,0.4056,0.6854,0.3645,0.3063,0.3209,-0.2798,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.3105,0.6134,0.3165,0.3063,0.2969,-0.3029,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0579,0.394,0.6796,0.3522,0.3063,0.3274,-0.2856,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-roberta-large-v1,model,8,0.0388,0.3816,0.6374,0.3536,0.3063,0.2838,-0.2558,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-roberta-large-v1,k5,4,0.069,0.3262,0.2905,0.3104,0.3063,-0.0199,0.0357,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-roberta-large-v1,k10,8,0.0388,0.3816,0.6374,0.3536,0.3063,0.2838,-0.2558,
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-roberta-large-v1,model,8,0.125,0.4174,0.4282,0.3713,0.3793,0.0569,-0.0108,
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.4058,0.3776,0.3636,0.3793,0.014,0.0282,
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-roberta-large-v1,k10,8,0.125,0.4174,0.4282,0.3713,0.3793,0.0569,-0.0108,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-roberta-large-v1,model,8,0.4,0.4174,0.4075,0.3713,0.3793,0.0362,0.0099,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.4058,0.3768,0.3636,0.3793,0.0132,0.029,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-roberta-large-v1,k10,8,0.4,0.4174,0.4075,0.3713,0.3793,0.0362,0.0099,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,model,10,0.3397,0.81,0.7792,0.8657,0.7775,-0.0865,0.0308,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.4138,0.7733,0.7592,0.8109,0.7775,-0.0517,0.0141,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k10,8,0.3459,0.7992,0.7783,0.8418,0.7775,-0.0635,0.0209,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,model,16,0.6051,0.8192,0.8108,0.913,0.7775,-0.1022,0.0084,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.7448,0.7733,0.7558,0.8109,0.7775,-0.0551,0.0175,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.6651,0.81,0.8042,0.8657,0.7775,-0.0615,0.0058,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,model,4,0.013,0.8558,0.5383,0.568,0.5,-0.0297,0.3175,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,k5,4,0.013,0.8558,0.5383,0.568,0.5,-0.0297,0.3175,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,k10,4,0.013,0.8558,0.5383,0.568,0.5,-0.0297,0.3175,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,model,5,0.1508,0.8604,0.7227,0.6028,0.5,0.1199,0.1377,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.1508,0.8604,0.7227,0.6028,0.5,0.1199,0.1377,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,k10,5,0.1508,0.8604,0.7227,0.6028,0.5,0.1199,0.1377,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,model,9,0.6743,0.5442,0.5403,0.2651,0.2805,0.2752,0.0039,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.561,0.2188,0.2645,0.2805,-0.0457,0.3422,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,k10,9,0.6743,0.5442,0.5403,0.2651,0.2805,0.2752,0.0039,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,model,11,0.0504,0.5448,0.3487,0.261,0.2805,0.0877,0.1961,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.561,0.2351,0.2645,0.2805,-0.0294,0.3259,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0519,0.5513,0.3591,0.2642,0.2805,0.0949,0.1922,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,model,6,0.6103,0.7416,0.7006,0.5586,0.5065,0.142,0.041,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.6613,0.7201,0.6766,0.5438,0.5065,0.1328,0.0435,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-roberta-large-v1,k10,6,0.6103,0.7416,0.7006,0.5586,0.5065,0.142,0.041,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,model,4,0.0459,0.7006,0.6727,0.5292,0.5065,0.1435,0.0279,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,k5,4,0.0459,0.7006,0.6727,0.5292,0.5065,0.1435,0.0279,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-roberta-large-v1,k10,4,0.0459,0.7006,0.6727,0.5292,0.5065,0.1435,0.0279,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-roberta-large-v1,model,15,0.7397,0.3443,0.3353,0.2397,0.2414,0.0956,0.009,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.1983,0.3559,0.2224,0.2361,0.2414,-0.0137,0.1335,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.771,0.3411,0.3303,0.2444,0.2414,0.0859,0.0108,
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-roberta-large-v1,model,9,0.1483,0.3361,0.2199,0.2476,0.2414,-0.0277,0.1162,
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.1777,0.3559,0.243,0.2361,0.2414,0.0069,0.1129,
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-roberta-large-v1,k10,9,0.1483,0.3361,0.2199,0.2476,0.2414,-0.0277,0.1162,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-roberta-large-v1,model,9,0.4566,0.4763,0.4637,0.378,0.3728,0.0857,0.0126,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.5328,0.4644,0.4597,0.3655,0.3728,0.0942,0.0047,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-roberta-large-v1,k10,9,0.4566,0.4763,0.4637,0.378,0.3728,0.0857,0.0126,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-roberta-large-v1,model,9,0.1125,0.4763,0.3507,0.378,0.3728,-0.0273,0.1256,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.1434,0.4644,0.3507,0.3655,0.3728,-0.0148,0.1137,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-roberta-large-v1,k10,9,0.1125,0.4763,0.3507,0.378,0.3728,-0.0273,0.1256,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-roberta-large-v1,model,11,0.1737,0.391,0.2915,0.2993,0.3618,-0.0078,0.0995,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.1776,0.4107,0.3081,0.3415,0.3618,-0.0334,0.1026,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.1772,0.3878,0.2915,0.3051,0.3618,-0.0136,0.0963,
asianbarometer,SE13a,Mongolia,country_provided,C,nemotron,all-roberta-large-v1,model,10,0.6929,0.3878,0.387,0.3051,0.3618,0.0819,0.0008,
