survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-roberta-large-v1,model,10,0.0031,0.9307,0.6136,0.7145,0.5042,-0.1009,0.3171,
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9399,0.6403,0.633,0.5042,0.0073,0.2996,
afrobarometer,Q67A,Angola,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0031,0.9307,0.6136,0.7145,0.5042,-0.1009,0.3171,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-roberta-large-v1,model,10,0.0,0.9307,0.5877,0.7145,0.5042,-0.1268,0.343,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9399,0.581,0.633,0.5042,-0.052,0.3589,
afrobarometer,Q67A,Angola,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.9307,0.5877,0.7145,0.5042,-0.1268,0.343,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-roberta-large-v1,model,11,0.0,0.9942,0.6083,0.7862,0.5925,-0.1779,0.3859,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9942,0.6083,0.6878,0.5925,-0.0795,0.3859,
afrobarometer,Q67A,Mali,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.9942,0.5883,0.7807,0.5925,-0.1924,0.4059,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-roberta-large-v1,model,10,0.0,0.9942,0.6583,0.7807,0.5925,-0.1224,0.3359,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9942,0.6292,0.6878,0.5925,-0.0586,0.365,
afrobarometer,Q67A,Mali,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.9942,0.6583,0.7807,0.5925,-0.1224,0.3359,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-roberta-large-v1,model,12,0.0,0.9983,0.7058,0.8129,0.6958,-0.1071,0.2925,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9983,0.7325,0.7511,0.6958,-0.0186,0.2658,
afrobarometer,Q67A,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.9983,0.715,0.8139,0.6958,-0.0989,0.2833,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-roberta-large-v1,model,10,0.0,0.9983,0.7142,0.8139,0.6958,-0.0997,0.2841,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.9983,0.7083,0.7511,0.6958,-0.0428,0.29,
afrobarometer,Q67A,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0,0.9983,0.7142,0.8139,0.6958,-0.0997,0.2841,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-roberta-large-v1,model,7,0.7541,0.4837,0.4402,0.3023,0.3222,0.1379,0.0435,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.6427,0.4803,0.4126,0.3024,0.3222,0.1102,0.0677,
afrobarometer,Q93B,Mali,unprompted,C,nemotron,all-roberta-large-v1,k10,7,0.7541,0.4837,0.4402,0.3023,0.3222,0.1379,0.0435,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-roberta-large-v1,model,7,0.6721,0.4837,0.4343,0.3023,0.3222,0.132,0.0494,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.7275,0.4803,0.4385,0.3024,0.3222,0.1361,0.0418,
afrobarometer,Q93B,Mali,country_provided,C,nemotron,all-roberta-large-v1,k10,7,0.6721,0.4837,0.4343,0.3023,0.3222,0.132,0.0494,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-roberta-large-v1,model,6,0.2863,0.4022,0.3602,0.197,0.2191,0.1632,0.042,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.2977,0.3829,0.33,0.1911,0.2191,0.1389,0.0529,
afrobarometer,Q93B,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k10,6,0.2863,0.4022,0.3602,0.197,0.2191,0.1632,0.042,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-roberta-large-v1,model,7,0.2785,0.3879,0.3602,0.1918,0.2191,0.1684,0.0277,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.3023,0.3829,0.351,0.1911,0.2191,0.1599,0.0319,
afrobarometer,Q93B,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k10,7,0.2785,0.3879,0.3602,0.1918,0.2191,0.1684,0.0277,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-roberta-large-v1,model,7,0.4,0.3625,0.3775,0.2772,0.2408,0.1003,-0.015,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.3611,0.345,0.3542,0.2739,0.2408,0.0803,-0.0092,
afrobarometer,Q93B,Angola,unprompted,C,nemotron,all-roberta-large-v1,k10,7,0.4,0.3625,0.3775,0.2772,0.2408,0.1003,-0.015,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-roberta-large-v1,model,6,0.418,0.3783,0.4117,0.2821,0.2408,0.1296,-0.0334,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.4537,0.345,0.3967,0.2739,0.2408,0.1228,-0.0517,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-roberta-large-v1,k10,6,0.418,0.3783,0.4117,0.2821,0.2408,0.1296,-0.0334,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-roberta-large-v1,model,14,0.1311,0.4358,0.3508,0.3305,0.3475,0.0203,0.085,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0382,0.405,0.2958,0.3073,0.3475,-0.0115,0.1092,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.127,0.4233,0.3358,0.3134,0.3475,0.0224,0.0875,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-roberta-large-v1,model,14,0.1213,0.4358,0.3775,0.3305,0.3475,0.047,0.0583,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.121,0.405,0.3458,0.3073,0.3475,0.0385,0.0592,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.123,0.4233,0.365,0.3134,0.3475,0.0516,0.0583,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-roberta-large-v1,model,11,0.3175,0.3799,0.3741,0.3335,0.2879,0.0406,0.0058,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.1961,0.3531,0.3682,0.3078,0.2879,0.0604,-0.0151,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.2955,0.364,0.3816,0.3246,0.2879,0.057,-0.0176,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-roberta-large-v1,model,18,0.2701,0.3891,0.3824,0.3492,0.2879,0.0332,0.0067,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.1961,0.3531,0.3071,0.3078,0.2879,-0.0007,0.046,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.2216,0.364,0.2954,0.3246,0.2879,-0.0292,0.0686,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-roberta-large-v1,model,13,0.0408,0.3425,0.3258,0.2735,0.2733,0.0523,0.0167,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0702,0.3358,0.3367,0.2542,0.2733,0.0825,-0.0009,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0471,0.3392,0.3275,0.2703,0.2733,0.0572,0.0117,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-roberta-large-v1,model,11,0.0222,0.3425,0.2692,0.265,0.2733,0.0042,0.0733,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.3358,0.24,0.2542,0.2733,-0.0142,0.0958,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0235,0.3392,0.2767,0.2703,0.2733,0.0064,0.0625,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-roberta-large-v1,model,13,0.3262,0.4779,0.4427,0.4122,0.4277,0.0305,0.0352,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.3766,0.4703,0.4753,0.3891,0.4277,0.0862,-0.005,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.325,0.4562,0.4486,0.4005,0.4277,0.0481,0.0076,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-roberta-large-v1,model,11,0.0787,0.4553,0.3592,0.4059,0.4277,-0.0467,0.0961,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.1299,0.4703,0.3592,0.3891,0.4277,-0.0299,0.1111,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0833,0.4562,0.3517,0.4005,0.4277,-0.0488,0.1045,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-roberta-large-v1,model,9,0.0526,0.4683,0.4325,0.3836,0.435,0.0489,0.0358,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0189,0.4633,0.42,0.392,0.435,0.028,0.0433,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-roberta-large-v1,k10,9,0.0526,0.4683,0.4325,0.3836,0.435,0.0489,0.0358,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-roberta-large-v1,model,15,0.0673,0.4808,0.4333,0.4018,0.435,0.0315,0.0475,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.4633,0.4142,0.392,0.435,0.0222,0.0491,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-roberta-large-v1,k10,10,0.0123,0.4667,0.3875,0.3898,0.435,-0.0023,0.0792,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-roberta-large-v1,model,9,0.0562,0.4547,0.6712,0.4053,0.3466,0.2659,-0.2165,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0865,0.4555,0.6658,0.3699,0.3466,0.2959,-0.2103,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-roberta-large-v1,k10,9,0.0562,0.4547,0.6712,0.4053,0.3466,0.2659,-0.2165,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-roberta-large-v1,model,10,0.25,0.4551,0.6596,0.4031,0.3466,0.2565,-0.2045,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-roberta-large-v1,k5,4,0.4828,0.4152,0.6883,0.3577,0.3466,0.3306,-0.2731,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-roberta-large-v1,k10,9,0.2687,0.4547,0.6534,0.4053,0.3466,0.2481,-0.1987,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,model,10,0.1818,0.6587,0.5728,0.553,0.5556,0.0198,0.0859,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.2857,0.6243,0.6156,0.5408,0.5556,0.0748,0.0087,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.1818,0.6587,0.5728,0.553,0.5556,0.0198,0.0859,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,model,11,0.1304,0.6757,0.5475,0.5479,0.5556,-0.0004,0.1282,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k5,4,0.25,0.5475,0.5721,0.5341,0.5556,0.038,-0.0246,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-roberta-large-v1,k10,9,0.1429,0.65,0.5384,0.5487,0.5556,-0.0103,0.1116,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,model,10,0.0162,0.5105,0.4076,0.3941,0.3266,0.0135,0.1029,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k5,5,0.0,0.4319,0.3024,0.3446,0.3266,-0.0422,0.1295,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-roberta-large-v1,k10,10,0.0162,0.5105,0.4076,0.3941,0.3266,0.0135,0.1029,
